Name:	Unknown
Clan:	Unknown
Member Since:	Apr 2017
Last Seen:	Apr 2017
Allies:	0
Rank:	7 kyu
Honor:	48
Leaderboard Position:	#149,137
Honor Percentile:	67th
Total Completed Kata:	5
Total Languages Trained:	2
Highest Trained:	JavaScript (7 kyu)
Most Recent:	JavaScript
Name:	Unknown
Clan:	Unknown
Member Since:	Apr 2017
Last Seen:	Apr 2017
Allies:	0
Rank:	7 kyu
Honor:	48
Leaderboard Position:	#149,137
Honor Percentile:	67th
Total Completed Kata:	5
Total Languages Trained:	2
Highest Trained:	JavaScript (7 kyu)
Most Recent:	JavaScript
Name:	Unknown
Clan:	Unknown
Member Since:	Apr 2017
Last Seen:	Apr 2017
Allies:	0
Rank:	7 kyu
Honor:	48
Leaderboard Position:	#149,137
Honor Percentile:	67th
Total Completed Kata:	5
Total Languages Trained:	2
Highest Trained:	JavaScript (7 kyu)
Most Recent:	JavaScript
Name:	Unknown
Clan:	Unknown
Member Since:	Apr 2017
Last Seen:	Apr 2017
Allies:	0
Rank:	7 kyu
Honor:	48
Leaderboard Position:	#149,174
Honor Percentile:	67th
Total Completed Kata:	5
Total Languages Trained:	2
Highest Trained:	JavaScript (7 kyu)
Most Recent:	JavaScript
